"name","followers","popularity","spotifyID"
"The National",1258396,69,"2cCUtGK9sDU2EoElnk0GNB"
"The Strokes",3472893,77,"0epOFNiUfyON9EYx7Tpr6V"
"Mac Quayle",19221,52,"3HLApxqtvULlffnRnW88O8"
"Clinton Shorter",4950,44,"23Vu6ClvSnmNSbz3ODd3iJ"
"Hans Zimmer",2316391,78,"0YC192cP3KPCRWx8zr8MfZ"
"Pink Floyd",13416007,82,"0k17h0D3J5VfsdmQ1iZtE9"
"Gustavo Santaolalla",182919,67,"4W3fa7tiXGVXl3KilbACqt"
"Jack Wall",26262,55,"0ttsFiIQxBWmfS1JPgTZ6o"
"Alexandre Desplat",235917,69,"71jzN72g8qWMCMkWC5p1Z0"
"Foo Fighters",8188942,79,"7jy3rLJdDQY21OgRLCZ9sD"
"John Paesano",17207,59,"3MhnTc9AODdRGMrtntEqIz"
"Sam Hulick",9820,46,"1WMefLQmpHuCUcDfMcavIo"
"Alvvays",322376,60,"3kzwYV3OCB010YfXMF0Avt"
"Ludwig Goransson",69374,68,"24eDfi2MSYo3A87hCcgpIL"
"Jóhann Jóhannsson",171312,63,"3IpQziA6YwD53PQ5xbwgLF"
"Faunts",15077,35,"5f3XEqM6vNrETqlzCMufGK"
"Jim Guthrie",18899,41,"4wEVY6Zz9STrspLNOmyz50"
"Bear McCreary",79542,63,"2ifvIECHAlEgPMBuBOJ0lG"
"Daughter",1112636,68,"46CitWgnWrvF9t70C2p1Me"
"Bon Iver",2821006,79,"4LEiUm1SRbFMgfqnQTwUbQ"
"Ryuichi Sakamoto",447048,60,"1tcgfoMTT1szjUeaikxRjA"
"Julien Baker",206347,60,"12zbUHbPHL5DGuJtiUfsip"
"Marcin Przybyłowicz",43542,62,"07vycW8ICLf5hKb22PFWXw"
"Arcade Fire",1852005,70,"3kjuyTCjPG1WMFCiyc5IuB"
"Phoebe Bridgers",428128,75,"1r1uxoy19fzMxunt3ONAkG"
"Vampire Weekend",1652111,71,"5BvJzeQpmsdsFp4HGUYUEx"
"Matt Berninger",47091,59,"27jRNjIvlUcGN7FBRDnqhp"
"Cris Velasco",4921,39,"13bb43GIQWR0f6rYeQcrUV"
"Chris Christodoulou",16227,49,"63OPPk7uHFdcpTuOFYpNfV"
"Greg Edmonson",4634,35,"2O0YGVBPONB6lPJYxb0q3w"
"Christopher Lennertz",6141,42,"2TQwXfupr6fAEV5AgNqIO5"
"Buckethead",250321,54,"0fDF0jjmdouCIeWhNnblwV"
"Henry Jackman",52867,56,"5SEW04tNMMrOz7UFQJA6vz"
"CHVRCHES",1177191,69,"3CjlHNtplJyTf9npxaPl5w"
"David Bowie",6221617,80,"0oSGxfWSnnOXhD2fKuz2Gy"
"Led Zeppelin",9886936,80,"36QJpDe2go2KgaRleHCDTp"
"Jethro Tull",1179953,61,"6w6z8m4WXX7Tub4Rb6Lu7R"
"JD Mayer",227,21,"0ljYjDNOdIwsYPj82VXL0K"
"Middle Kids",83306,50,"6AawJaQO4i99Be2A3w7BTW"
"Kitaro",175640,52,"6CTNhXJKT6SdsQspUDIGiY"
"Piotr Musiał",4261,51,"4IVoqcr2G4cE9tH7crHsfE"
"Trent Reznor and Atticus Ross",116120,56,"6cadOIa5DTh6a5mGo5r4bh"
"Mikolai Stroinski",12630,57,"6lGCmXtqSxze8o2KEfYD6D"
"Epic Mountain",39641,46,"7meq0SFt3BxWzjbt5EVBbT"
"Yasumu",3350,69,"53rCVzFVlyntj7jEjnY2oM"
"Casiio",4812,70,"5zUSfxfP1NETZiaWt0Ui0a"
"brillion.",6262,70,"77aATgrzmuoRjmqxPcEIHU"
"Queens of the Stone Age",2481825,72,"4pejUc4iciQfgdX6OKulQn"
"Talking Heads",1434692,71,"2x9SpqnPi8rlE9pjHBwmSC"
"65daysofstatic",112656,45,"6DVVsQAnpHdJjb1nYuOQ6g"
