"name","followers","popularity","spotifyID"
"The National",1258012,69,"2cCUtGK9sDU2EoElnk0GNB"
"The Strokes",3470718,77,"0epOFNiUfyON9EYx7Tpr6V"
"Mac Quayle",19199,52,"3HLApxqtvULlffnRnW88O8"
"Clinton Shorter",4947,44,"23Vu6ClvSnmNSbz3ODd3iJ"
"Hans Zimmer",2314846,78,"0YC192cP3KPCRWx8zr8MfZ"
"Gustavo Santaolalla",182789,67,"4W3fa7tiXGVXl3KilbACqt"
"Pink Floyd",13408673,82,"0k17h0D3J5VfsdmQ1iZtE9"
"Jack Wall",26246,55,"0ttsFiIQxBWmfS1JPgTZ6o"
"Alexandre Desplat",235797,69,"71jzN72g8qWMCMkWC5p1Z0"
"Foo Fighters",8185832,79,"7jy3rLJdDQY21OgRLCZ9sD"
"John Paesano",17172,59,"3MhnTc9AODdRGMrtntEqIz"
"Sam Hulick",9822,46,"1WMefLQmpHuCUcDfMcavIo"
"Alvvays",322183,60,"3kzwYV3OCB010YfXMF0Avt"
"Ludwig Goransson",68978,68,"24eDfi2MSYo3A87hCcgpIL"
"Jóhann Jóhannsson",171207,63,"3IpQziA6YwD53PQ5xbwgLF"
"Faunts",15076,35,"5f3XEqM6vNrETqlzCMufGK"
"Jim Guthrie",18895,41,"4wEVY6Zz9STrspLNOmyz50"
"Bear McCreary",79486,63,"2ifvIECHAlEgPMBuBOJ0lG"
"Daughter",1112195,68,"46CitWgnWrvF9t70C2p1Me"
"Ryuichi Sakamoto",446816,60,"1tcgfoMTT1szjUeaikxRjA"
"Bon Iver",2819894,79,"4LEiUm1SRbFMgfqnQTwUbQ"
"Julien Baker",206113,60,"12zbUHbPHL5DGuJtiUfsip"
"Marcin Przybyłowicz",43437,62,"07vycW8ICLf5hKb22PFWXw"
"Phoebe Bridgers",425809,75,"1r1uxoy19fzMxunt3ONAkG"
"Arcade Fire",1851470,70,"3kjuyTCjPG1WMFCiyc5IuB"
"Matt Berninger",46974,59,"27jRNjIvlUcGN7FBRDnqhp"
"Vampire Weekend",1651517,71,"5BvJzeQpmsdsFp4HGUYUEx"
"Cris Velasco",4917,39,"13bb43GIQWR0f6rYeQcrUV"
"Chris Christodoulou",16206,49,"63OPPk7uHFdcpTuOFYpNfV"
"Greg Edmonson",4634,35,"2O0YGVBPONB6lPJYxb0q3w"
"Christopher Lennertz",6135,42,"2TQwXfupr6fAEV5AgNqIO5"
"Buckethead",250129,54,"0fDF0jjmdouCIeWhNnblwV"
"Henry Jackman",52842,56,"5SEW04tNMMrOz7UFQJA6vz"
"CHVRCHES",1176928,69,"3CjlHNtplJyTf9npxaPl5w"
"David Bowie",6217340,80,"0oSGxfWSnnOXhD2fKuz2Gy"
"Led Zeppelin",9881694,80,"36QJpDe2go2KgaRleHCDTp"
"Jethro Tull",1179450,61,"6w6z8m4WXX7Tub4Rb6Lu7R"
"JD Mayer",227,21,"0ljYjDNOdIwsYPj82VXL0K"
"Middle Kids",83266,50,"6AawJaQO4i99Be2A3w7BTW"
"Kitaro",175567,52,"6CTNhXJKT6SdsQspUDIGiY"
"Piotr Musiał",4258,51,"4IVoqcr2G4cE9tH7crHsfE"
"Trent Reznor and Atticus Ross",116032,56,"6cadOIa5DTh6a5mGo5r4bh"
"Mikolai Stroinski",12618,57,"6lGCmXtqSxze8o2KEfYD6D"
"Epic Mountain",39598,46,"7meq0SFt3BxWzjbt5EVBbT"
"Yasumu",3311,69,"53rCVzFVlyntj7jEjnY2oM"
"Casiio",4797,70,"5zUSfxfP1NETZiaWt0Ui0a"
"brillion.",6233,69,"77aATgrzmuoRjmqxPcEIHU"
"Queens of the Stone Age",2480383,72,"4pejUc4iciQfgdX6OKulQn"
"Talking Heads",1433735,71,"2x9SpqnPi8rlE9pjHBwmSC"
"65daysofstatic",112622,45,"6DVVsQAnpHdJjb1nYuOQ6g"
